id,icao_code,name,latitude,longitude
1747,CYGP,Michel-Pouliot Gaspé Airport,48.774915,-64.481893
1748,CYGQ,Geraldton Greenstone Regional Airport,49.77830124,-86.93939972
1749,CYGR,Îles-de-la-Madeleine Airport,47.425242,-61.778612
1751,CYGV,Havre-Saint-Pierre Airport,50.281898,-63.611401
1752,CYGW,Kuujjuarapik Airport,55.2818985,-77.76529694
1757,CYHD,Dryden Regional Airport,49.831699,-92.744202
1759,CYHF,Hearst René Fontaine Municipal Airport,49.71419907,-83.68609619
1763,CYHM,John C. Munro Hamilton International Airport,43.17359924,-79.93499756
1764,CYHN,Hornepayne Municipal Airport,49.19309998,-84.7589035
1767,CYHT,Haines Junction Airport,60.7892,-137.546005
1768,CYHU,Montréal / Saint-Hubert Metropolitan Airport,45.517502,-73.416901
1769,CYHY,Hay River / Merlyn Carter Airport,60.83969879,-115.7829971
1770,CYHZ,Halifax / Stanfield International Airport,44.88079834,-63.50859833
1771,CYIB,Atikokan Municipal Airport,48.773899,-91.638603
1772,CYID,Digby / Annapolis Regional Airport,44.54584504,-65.78542471
1773,CYIF,St Augustin Airport,51.2117,-58.658298
1776,CYIV,Island Lake Airport,53.85720062,-94.6536026
1778,CYJF,Fort Liard Airport,60.2358017,-123.4690018
1780,CYJN,St Jean Airport,45.29439926,-73.28109741
1783,CYJT,Dymond Airport,48.544201,-58.549999
1784,CYKA,Kamloops John Moose Fulton Field Regional Airport,50.703038,-120.448641
1787,CYKF,Region of Waterloo International Airport,43.4608,-80.378601
1789,CYKJ,Key Lake Airport,57.2560997,-105.6179962
1790,CYKL,Schefferville Airport,54.80530167,-66.80529785
1340,CYKM,Kincardine Municipal Airport,44.201401,-81.606697
1793,CYKX,Kirkland Lake Airport,48.21030045,-79.98139954
1794,CYKY,Kindersley Airport,51.51750183,-109.1809998
1799,CYLD,Chapleau Airport,47.81999969,-83.34670258
1801,CYLJ,Meadow Lake Airport,54.12530136,-108.5230026
1803,CYLL,Lloydminster Airport,53.3092,-110.072998
1805,CYLR,Leaf Rapids Airport,56.51330185,-99.98529816
1293,CYLS,Barrie-Lake Simcoe Regional Airport,44.485056,-79.554663
1806,CYLT,Alert Airport,82.517799,-62.280602
1808,CYLW,Kelowna International Airport,49.9561,-119.377998
1809,CYMA,Mayo Airport,63.61640167,-135.8679962
1810,CYME,Matane Airport,48.85689926,-67.45330048
1811,CYMG,Manitouwadge Airport,49.08390045,-85.86060333
1813,CYMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,50.33029938,-105.5589981
1814,CYML,Charlevoix Airport,47.59749985,-70.22389984
1815,CYMM,Fort McMurray Airport,56.65330124,-111.2220001
1816,CYMO,Moosonee Airport,51.29109955,-80.60780334
1817,CYMT,Chapais Airport,49.77190018,-74.52809906
1820,CYMX,Montreal International (Mirabel) Airport,45.679501,-74.038696
1822,CYNA,Natashquan Airport,50.190114,-61.78898
1824,CYND,Ottawa / Gatineau Airport,45.521702,-75.563599
1827,CYNJ,Langley Airport,49.1008,-122.630997
1828,CYNL,Points North Landing Airport,58.27669907,-104.0820007
1829,CYNM,Matagami Airport,49.76169968,-77.80280304
1830,CYNN,Nejanilini Lake Airport,59.48749924,-97.78029633
1832,CYOA,Ekati Airport,64.69889832,-110.6149979
1834,CYOD,CFB Cold Lake,54.40499878,-110.2789993
1836,CYOJ,High Level Airport,58.62139893,-117.1650009
1837,CYOO,Oshawa Executive Airport,43.922798,-78.894997
1838,CYOP,Rainbow Lake Airport,58.491402,-119.407997
1839,CYOS,Owen Sound / Billy Bishop Regional Airport,44.59030151,-80.83750153
1840,CYOW,Ottawa Macdonald-Cartier International Airport,45.322498,-75.669197
1842,CYPA,Prince Albert Glass Field,53.21419907,-105.6729965
1844,CYPD,Port Hawkesbury Airport,45.65670013,-61.36809921
1845,CYPE,Peace River Airport,56.226898,-117.446999
1846,CYPG,Portage-la-Prairie / Southport Airport,49.903099,-98.273817
1848,CYPK,Pitt Meadows Airport,49.216099,-122.709999
1849,CYPL,Pickle Lake Airport,51.44639969,-90.21420288
1851,CYPN,Port-Menier Airport,49.836399,-64.288597
1854,CYPQ,Peterborough Municipal Airport,44.23,-78.363297
1855,CYPR,Prince Rupert Airport,54.28609848,-130.4450073
1859,CYPW,Powell River Airport,49.83420181,-124.5
1860,CYPX,Puvirnituq Airport,60.050598,-77.286903
1861,CYPY,Fort Chipewyan Airport,58.76720047,-111.1169968
1862,CYPZ,Burns Lake Airport,54.3764,-125.950996
1863,CYQA,Muskoka Airport,44.975376,-79.306546
1864,CYQB,Quebec Jean Lesage International Airport,46.7911,-71.393303
1865,CYQD,The Pas Airport,53.97140121,-101.0910034
1866,CYQF,Red Deer Regional Airport,52.182201,-113.893997
1867,CYQG,Windsor Airport,42.27560043,-82.95559692
1868,CYQH,Watson Lake Airport,60.116839,-128.821993
1869,CYQI,Yarmouth Airport,43.82690048,-66.08809662
1870,CYQK,Kenora Airport,49.78829956,-94.36309814
1871,CYQL,Lethbridge County Airport,49.63029861,-112.8000031
1872,CYQM,Greater Moncton Roméo LeBlanc International Airport,46.112202,-64.678596
1873,CYQN,Nakina Airport,50.18280029,-86.6964035
1874,CYQQ,Comox Valley Airport / CFB Comox,49.7108,-124.887001
1875,CYQR,Regina International Airport,50.43190002,-104.6660004
1876,CYQS,St Thomas Municipal Airport,42.77000046,-81.1108017
1877,CYQT,Thunder Bay Airport,48.37189865,-89.32389832
1878,CYQU,Grande Prairie Airport,55.17969894,-118.8850021
1879,CYQV,Yorkton Municipal Airport,51.26470184,-102.461998
1880,CYQW,North Battleford Airport,52.769409,-108.243742
1881,CYQX,Gander International Airport / CFB Gander,48.936258,-54.567719
1882,CYQY,Sydney / J.A. Douglas McCurdy Airport,46.1614,-60.047798
1883,CYQZ,Quesnel Airport,53.02610016,-122.5100021
1885,CYRB,Resolute Bay Airport,74.71690369,-94.9693985
1887,CYRI,Rivière-du-Loup Airport,47.76440048,-69.58470154
1888,CYRJ,Roberval Airport,48.519665,-72.265735
1889,CYRL,Red Lake Airport,51.06689835,-93.79309845
1891,CYRO,Ottawa / Rockcliffe Airport,45.46030045,-75.64610291
1892,CYRP,Ottawa / Carp Airport,45.31919861,-76.02220154
1893,CYRQ,Trois-Rivières Airport,46.35279846,-72.67939758
1895,CYRT,Rankin Inlet Airport,62.81140137,-92.11579895
1896,CYRV,Revelstoke Airport,50.962245,-118.184258
1897,CYSB,Sudbury Airport,46.625,-80.79889679
1898,CYSC,Sherbrooke Airport,45.438599,-71.691399
1901,CYSF,Stony Rapids Airport,59.25030136,-105.8410034
1902,CYSG,Saint-Georges Airport,46.096401,-70.714699
1903,CYSH,Smiths Falls-Montague (Russ Beach) Airport,44.945801,-75.940598
1904,CYSJ,Saint John Airport,45.31610107,-65.89029694
1906,CYSL,Saint-Léonard Airport,47.157097,-67.836242
1907,CYSM,Fort Smith Airport,60.020302,-111.961998
1908,CYSN,Niagara District Airport,43.191598,-79.171686
1909,CYSP,Marathon Airport,48.75529861,-86.3443985
1913,CYSU,Summerside Airport,46.440601,-63.833599
1917,CYTA,Pembroke Airport,45.86439896,-77.25170135
1919,CYTF,Alma Airport,48.5089,-71.641899
1920,CYTH,Thompson Airport,55.80110168,-97.86419678
1924,CYTR,CFB Trenton,44.1189003,-77.52809906
1925,CYTS,Timmins/Victor M. Power,48.56969833,-81.37670136
